date,Reservoir,Rainfall,GW Level
2023-01-01,-0.0291876712309291,0.0004394140589854,0.0034412780502636
2023-01-02,-0.0295146396316253,0.0004394140589854,0.0084795690543973
2023-01-03,-0.0270617801985333,0.0006212000040333,0.0
2023-01-04,-0.0222951826715867,4.650667022520624e-07,0.0166190336275865
2023-01-05,-0.0158490662088724,4.650667022520624e-07,0.0257657356545628
2023-01-06,-0.0083563976281384,0.0100629727041812,0.0259128337280849
2023-01-07,-0.0004204650995537,1.1976959108827054e-05,0.0534265911320664
2023-01-08,0.007455372691938,0.0039812296357635,0.0109404856258691
2023-01-09,0.0147924263476143,0.0221154745723342,0.0134570722491285
2023-01-10,0.0211120064687529,0.0007360658400033,0.0130255264784556
2023-01-11,0.0259354236566315,0.0003722770644056,0.0203314873922604
2023-01-12,0.0287839885125278,3.403697437723482e-05,0.0194734540570272
2023-01-13,0.0293192002307875,0.0006187933164096,0.0319871605308652
2023-01-14,0.0277610345795898,5.20394923536408e-05,0.0322320811123743
2023-01-15,0.0244604457353294,5.20394923536408e-05,0.0290897108927336
2023-01-16,0.0197657141115683,0.0011514232294547,0.0280612629761637
2023-01-17,0.01402502113077,0.0011514232294547,0.0278977844844661
2023-01-18,0.0075865482153982,0.000656931667511,0.0327840236701406
2023-01-19,0.000798476787916,0.0007465288966207,0.0356902272098166
2023-01-20,-0.0060062281248563,0.0002799193308523,0.0382754154444702
2023-01-21,-0.0125554670786732,0.0040586514648284,0.038338740631778
2023-01-22,-0.0185923570249322,0.0002540794263658,0.0416581526361058
2023-01-23,-0.0238600149150305,0.0014023599245162,0.0467156788116482
2023-01-24,-0.0281015577003662,0.0408801120169669,0.0480591725014986
2023-01-25,-0.0310601023323362,0.1032569426605908,0.6211832803336012
2023-01-26,-0.0324787657623386,0.0001731041132807,0.6295235263712303
2023-01-27,-0.032172891315194,0.0007629784531279,0.6241362575641692
2023-01-28,-0.0302490990664884,0.0003544977304333,0.3505655247942878
2023-01-29,-0.0268957204935209,0.0006989442700246,0.2053270075438307
2023-01-30,-0.0223034583306606,0.0656355334260569,0.640374772284035
2023-01-31,-0.0166630153122791,0.0925876871122227,0.6441521565661045
2023-02-01,-0.0101650941727458,0.0148472555527315,0.657963465021208
2023-02-02,-0.0030003976464317,0.1251948516228597,0.6469849059962892
2023-02-03,0.0046459234633374,0.3263685130854211,0.6544776195051251
2023-02-04,0.0125896247663471,0.3035356566999707,0.6546938012608384
2023-02-05,0.0205561758604962,0.0180513052755841,0.6470885192811001
2023-02-06,0.028207214237939,7.627103146543937e-05,0.6535903635095007
2023-02-07,0.0351937446921599,0.0001141666964091,0.6596404679692481
2023-02-08,0.0411667720166444,0.0001141666964091,0.6635605869191273
2023-02-09,0.0457773010048772,0.0001674973818821,0.6683060662537353
2023-02-10,0.0486763364503436,0.0001674973818821,0.6585782744694669
2023-02-11,0.0495148831465279,0.0001674973818821,0.660291459694084
2023-02-12,0.0479510552266947,0.0024749007276857,0.6680515537874406
2023-02-13,0.0436714041832234,2.9339495391752217e-06,0.7431046297479545
2023-02-14,0.0364224684072533,0.000453799496295,0.669349120487248
2023-02-15,0.0262896716441727,0.000453799496295,0.6822852134148866
2023-02-16,0.0139208156716605,0.0004587306251092,0.6873867061727498
2023-02-17,9.107738572451328e-05,0.0005539411224737,0.6877320371196435
2023-02-18,-0.0144243663176282,0.000871322812169,0.5504430297176367
2023-02-19,-0.0288503385423901,2.894084548444672e-07,0.1322855255561191
2023-02-20,-0.0424116623925544,2.894084548444672e-07,0.1300344331722596
2023-02-21,-0.0543331609721132,8.477325935384482e-05,0.5524398841022328
2023-02-22,-0.0638396573850599,8.477325935384482e-05,0.7073725991123531
2023-02-23,-0.0702126874277039,8.477325935384482e-05,0.7104607374701933
2023-02-24,-0.0729606376656257,0.0,0.7044685690998304
2023-02-25,-0.071651676199694,0.0,0.7107996133104876
2023-02-26,-0.0658662465026606,0.0,0.7001816813883074
2023-02-27,-0.0554786090687309,0.0009582076141172,0.7222096566666151
2023-02-28,-0.0415260171060388,0.0020724085434781,0.7585098677020446
2023-03-01,-0.0253364720011992,0.0356251068801991,0.7088049321768614
2023-03-02,-0.008237975140828,0.0037489429904578,0.7051111604168622
2023-03-03,0.0085591587087372,0.0014592255382711,0.7305831002303201
2023-03-04,0.0243959672226148,0.0014592255382711,0.7598271556511239
2023-03-05,0.0390535985375748,0.0001347588579761,0.8066925011701186
2023-03-06,0.0523938067507293,0.0035009034583722,0.8108337086750209
2023-03-07,0.0642783459591914,0.0007352976418293,0.8047421778030003
2023-03-08,0.0745689702600732,0.0005332282151138,0.8152971643186443
2023-03-09,0.0831274337504878,0.0003248365385731,0.8157721242648915
2023-03-10,0.0898154905275476,0.0023083926596633,0.7958487889279665
2023-03-11,0.0944948946883651,0.0001953377823611,0.7491530525727744
2023-03-12,0.097027400330053,0.0001982228552539,0.7522418808426966
2023-03-13,0.0972691454080829,0.0001769966388433,0.7607678605690341
2023-03-14,0.0950517214978893,0.0001769966388433,0.7812788258794235
2023-03-15,0.0901927767793716,0.0274965734528423,0.6667655704217649
2023-03-16,0.0825078776189558,0.0539286433879582,0.2507193250110268
2023-03-17,0.0718125903830679,0.0615744104611865,0.2360311005975618
2023-03-18,0.0579224814381331,0.026040603174879,0.3698034381336322
2023-03-19,0.0406531171505788,0.0887527522579529,0.7844398652138925
2023-03-20,0.0200636218217474,0.2111681981377373,0.7905730359302209
2023-03-21,-0.0027345190056522,0.0535525149463756,0.7981604060318092
